0000000150,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:52:04 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",1.00,30.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.30,"V"
"extractor",370,"V"
"focus",-144,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000001,    1.00,    458690
0000000001,00:00:00,0000000001,    2.00,    757710
0000000001,00:00:00,0000000001,    3.00,       500
0000000001,00:00:00,0000000001,    4.00,        60
0000000001,00:00:00,0000000001,    5.00,        80
0000000001,00:00:00,0000000001,    6.00,        60
0000000001,00:00:00,0000000001,    7.00,       170
0000000001,00:00:00,0000000001,    8.00,        70
0000000001,00:00:00,0000000001,    9.00,        80
0000000001,00:00:00,0000000001,   10.00,        70
0000000001,00:00:00,0000000001,   11.00,        50
0000000001,00:00:00,0000000001,   12.00,       390
0000000001,00:00:00,0000000001,   13.00,       250
0000000001,00:00:00,0000000001,   14.00,     35000
0000000001,00:00:00,0000000001,   15.00,      2820
0000000001,00:00:00,0000000001,   16.00,     26600
0000000001,00:00:00,0000000001,   17.00,     51390
0000000001,00:00:00,0000000001,   18.00,     76970
0000000001,00:00:00,0000000001,   19.00,       210
0000000001,00:00:00,0000000001,   20.00,       290
0000000001,00:00:00,0000000001,   21.00,        50
0000000001,00:00:00,0000000001,   22.00,        60
0000000001,00:00:00,0000000001,   23.00,        80
0000000001,00:00:00,0000000001,   24.00,        90
0000000001,00:00:00,0000000001,   25.00,       170
0000000001,00:00:00,0000000001,   26.00,      1280
0000000001,00:00:00,0000000001,   27.00,      4170
0000000001,00:00:00,0000000001,   28.00,    621240
0000000001,00:00:00,0000000001,   29.00,     11510
0000000001,00:00:00,0000000001,   30.00,      2200
0000000002,00:00:03,0000003434,    1.00,    455390
0000000002,00:00:03,0000003434,    2.00,    755370
0000000002,00:00:03,0000003434,    3.00,       280
0000000002,00:00:03,0000003434,    4.00,        50
0000000002,00:00:03,0000003434,    5.00,        90
0000000002,00:00:03,0000003434,    6.00,        80
0000000002,00:00:03,0000003434,    7.00,       200
0000000002,00:00:03,0000003434,    8.00,        30
0000000002,00:00:03,0000003434,    9.00,       100
0000000002,00:00:03,0000003434,   10.00,        80
0000000002,00:00:03,0000003434,   11.00,        80
0000000002,00:00:03,0000003434,   12.00,       410
0000000002,00:00:03,0000003434,   13.00,       300
0000000002,00:00:03,0000003434,   14.00,     35330
0000000002,00:00:03,0000003434,   15.00,      2990
0000000002,00:00:03,0000003434,   16.00,     26680
0000000002,00:00:03,0000003434,   17.00,     51070
0000000002,00:00:03,0000003434,   18.00,     74860
0000000002,00:00:03,0000003434,   19.00,       290
0000000002,00:00:03,0000003434,   20.00,       380
0000000002,00:00:03,0000003434,   21.00,        50
0000000002,00:00:03,0000003434,   22.00,       110
0000000002,00:00:03,0000003434,   23.00,        60
0000000002,00:00:03,0000003434,   24.00,        80
0000000002,00:00:03,0000003434,   25.00,       180
0000000002,00:00:03,0000003434,   26.00,      1220
0000000002,00:00:03,0000003434,   27.00,      4240
0000000002,00:00:03,0000003434,   28.00,    614440
0000000002,00:00:03,0000003434,   29.00,     10990
0000000002,00:00:03,0000003434,   30.00,      2100
0000000003,00:00:06,0000006867,    1.00,    456670
0000000003,00:00:06,0000006867,    2.00,    755210
0000000003,00:00:06,0000006867,    3.00,       360
0000000003,00:00:06,0000006867,    4.00,        40
0000000003,00:00:06,0000006867,    5.00,        70
