0000000150,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:01:22 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","mass",1.00,30.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.35,"V"
"extractor",2,"V"
"focus",-117,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",-99,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    1.00,    673160
0000000001,00:00:00,0000000000,    2.00,    956070
0000000001,00:00:00,0000000000,    3.00,   2389230
0000000001,00:00:00,0000000000,    4.00,      4360
0000000001,00:00:00,0000000000,    5.00,      1110
0000000001,00:00:00,0000000000,    6.00,       580
0000000001,00:00:00,0000000000,    7.00,       190
0000000001,00:00:00,0000000000,    8.00,       440
0000000001,00:00:00,0000000000,    9.00,       380
0000000001,00:00:00,0000000000,   10.00,      6420
0000000001,00:00:00,0000000000,   11.00,      9700
0000000001,00:00:00,0000000000,   12.00,     10210
0000000001,00:00:00,0000000000,   13.00,      6730
0000000001,00:00:00,0000000000,   14.00,     14210
0000000001,00:00:00,0000000000,   15.00,     18690
0000000001,00:00:00,0000000000,   16.00,     73370
0000000001,00:00:00,0000000000,   17.00,    252720
0000000001,00:00:00,0000000000,   18.00,    146990
0000000001,00:00:00,0000000000,   19.00,     67340
0000000001,00:00:00,0000000000,   20.00,       940
0000000001,00:00:00,0000000000,   21.00,       890
0000000001,00:00:00,0000000000,   22.00,       330
0000000001,00:00:00,0000000000,   23.00,       320
0000000001,00:00:00,0000000000,   24.00,       390
0000000001,00:00:00,0000000000,   25.00,      2620
0000000001,00:00:00,0000000000,   26.00,     16280
0000000001,00:00:00,0000000000,   27.00,     90270
0000000001,00:00:00,0000000000,   28.00,    681020
0000000001,00:00:00,0000000000,   29.00,    563020
0000000001,00:00:00,0000000000,   30.00,     25520
0000000002,00:00:03,0000003434,    1.00,    666530
0000000002,00:00:03,0000003434,    2.00,   1400530
0000000002,00:00:03,0000003434,    3.00,   2611580
0000000002,00:00:03,0000003434,    4.00,      7260
0000000002,00:00:03,0000003434,    5.00,       320
0000000002,00:00:03,0000003434,    6.00,       630
0000000002,00:00:03,0000003434,    7.00,       210
0000000002,00:00:03,0000003434,    8.00,       500
0000000002,00:00:03,0000003434,    9.00,       290
0000000002,00:00:03,0000003434,   10.00,      6220
0000000002,00:00:03,0000003434,   11.00,     12050
0000000002,00:00:03,0000003434,   12.00,      5470
0000000002,00:00:03,0000003434,   13.00,      8130
0000000002,00:00:03,0000003434,   14.00,      7440
0000000002,00:00:03,0000003434,   15.00,     23880
0000000002,00:00:03,0000003434,   16.00,     70970
0000000002,00:00:03,0000003434,   17.00,    297250
0000000002,00:00:03,0000003434,   18.00,    152330
0000000002,00:00:03,0000003434,   19.00,     59340
0000000002,00:00:03,0000003434,   20.00,      1170
0000000002,00:00:03,0000003434,   21.00,       650
0000000002,00:00:03,0000003434,   22.00,       180
0000000002,00:00:03,0000003434,   23.00,       340
0000000002,00:00:03,0000003434,   24.00,       500
0000000002,00:00:03,0000003434,   25.00,      2390
0000000002,00:00:03,0000003434,   26.00,     17940
0000000002,00:00:03,0000003434,   27.00,     74740
0000000002,00:00:03,0000003434,   28.00,    612210
0000000002,00:00:03,0000003434,   29.00,    639800
0000000002,00:00:03,0000003434,   30.00,     23240
0000000003,00:00:06,0000006867,    1.00,    701660
0000000003,00:00:06,0000006867,    2.00,   1944930
0000000003,00:00:06,0000006867,    3.00,   1229350
0000000003,00:00:06,0000006867,    4.00,      6400
0000000003,00:00:06,0000006867,    5.00,       210
0000000003,00:00:06,0000006867,    6.00,       660
0000000003,00:00:06,0000006867,    7.00,       290
0000000003,00:00:06,0000006867,    8.00,       830
0000000003,00:00:06,0000006867,    9.00,       420
0000000003,00:00:06,0000006867,   10.00,      6310
0000000003,00:00:06,0000006867,   11.00,     17620
0000000003,00:00:06,0000006867,   12.00,      3060
0000000003,00:00:06,0000006867,   13.00,      6850
0000000003,00:00:06,0000006867,   14.00,      8960
0000000003,00:00:06,0000006867,   15.00,     30700
0000000003,00:00:06,0000006867,   16.00,     71390
0000000003,00:00:06,0000006867,   17.00,    257890
0000000003,00:00:06,0000006867,   18.00,    161280
0000000003,00:00:06,0000006867,   19.00,     55810
0000000003,00:00:06,0000006867,   20.00,      1770
0000000003,00:00:06,0000006867,   21.00,       530
0000000003,00:00:06,0000006867,   22.00,       370
0000000003,00:00:06,0000006867,   23.00,       270
0000000003,00:00:06,0000006867,   24.00,       530
0000000003,00:00:06,0000006867,   25.00,      2250
0000000003,00:00:06,0000006867,   26.00,     15760
0000000003,00:00:06,0000006867,   27.00,     91540
0000000003,00:00:06,0000006867,   28.00,    332850
0000000003,00:00:06,0000006867,   29.00,    786240
0000000003,00:00:06,0000006867,   30.00,     17290
0000000004,00:00:10,0000010300,    1.00,    331480
0000000004,00:00:10,0000010300,    2.00,   1699060
0000000004,00:00:10,0000010300,    3.00,   1413730
0000000004,00:00:10,0000010300,    4.00,      5730
0000000004,00:00:10,0000010300,    5.00,       400
0000000004,00:00:10,0000010300,    6.00,      1060
0000000004,00:00:10,0000010300,    7.00,       310
0000000004,00:00:10,0000010300,    8.00,       360
0000000004,00:00:10,0000010300,    9.00,       430
0000000004,00:00:10,0000010300,   10.00,      6250
0000000004,00:00:10,0000010300,   11.00,     18400
0000000004,00:00:10,0000010300,   12.00,      2580
0000000004,00:00:10,0000010300,   13.00,     17100
0000000004,00:00:10,0000010300,   14.00,     10790
0000000004,00:00:10,0000010300,   15.00,     23520
0000000004,00:00:10,0000010300,   16.00,    101130
0000000004,00:00:10,0000010300,   17.00,    247420
0000000004,00:00:10,0000010300,   18.00,    157950
