0000001186,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:30:15 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","mass",0.40,30.00,0.05,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.35,"V"
"extractor",2,"V"
"focus",-117,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",-99,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000001,    0.40,       410
0000000001,00:00:00,0000000001,    0.45,       450
0000000001,00:00:00,0000000001,    0.50,       660
0000000001,00:00:00,0000000001,    0.55,      1110
0000000001,00:00:00,0000000001,    0.60,      2800
0000000001,00:00:00,0000000001,    0.65,      6110
0000000001,00:00:00,0000000001,    0.70,     11650
0000000001,00:00:00,0000000001,    0.75,     16760
0000000001,00:00:00,0000000001,    0.80,     13690
0000000001,00:00:00,0000000001,    0.85,     13460
0000000001,00:00:00,0000000001,    0.90,     48050
0000000001,00:00:00,0000000001,    0.95,     83310
0000000001,00:00:00,0000000001,    1.00,     95490
0000000001,00:00:00,0000000001,    1.05,     72310
0000000001,00:00:00,0000000001,    1.10,     70060
0000000001,00:00:00,0000000001,    1.15,     72660
0000000001,00:00:00,0000000001,    1.20,     89070
0000000001,00:00:00,0000000001,    1.25,    112270
0000000001,00:00:00,0000000001,    1.30,    157620
0000000001,00:00:00,0000000001,    1.35,    202700
0000000001,00:00:00,0000000001,    1.40,    278250
0000000001,00:00:00,0000000001,    1.45,    318440
0000000001,00:00:00,0000000001,    1.50,    357880
0000000001,00:00:00,0000000001,    1.55,    409080
0000000001,00:00:00,0000000001,    1.60,    442200
0000000001,00:00:00,0000000001,    1.65,    457260
0000000001,00:00:00,0000000001,    1.70,    463830
0000000001,00:00:00,0000000001,    1.75,    487230
0000000001,00:00:00,0000000001,    1.80,    513270
0000000001,00:00:00,0000000001,    1.85,    562690
0000000001,00:00:00,0000000001,    1.90,    585780
0000000001,00:00:00,0000000001,    1.95,    600170
0000000001,00:00:00,0000000001,    2.00,    594600
0000000001,00:00:00,0000000001,    2.05,    599530
0000000001,00:00:00,0000000001,    2.10,    551760
0000000001,00:00:00,0000000001,    2.15,    510200
0000000001,00:00:00,0000000001,    2.20,    312830
0000000001,00:00:00,0000000001,    2.25,    182510
0000000001,00:00:00,0000000001,    2.30,    183170
0000000001,00:00:00,0000000001,    2.35,    214280
0000000001,00:00:00,0000000001,    2.40,    243420
0000000001,00:00:00,0000000001,    2.45,    256620
0000000001,00:00:00,0000000001,    2.50,    247990
0000000001,00:00:00,0000000001,    2.55,    256130
0000000001,00:00:00,0000000001,    2.60,    262260
0000000001,00:00:00,0000000001,    2.65,    277730
0000000001,00:00:00,0000000001,    2.70,    291660
0000000001,00:00:00,0000000001,    2.75,    314450
0000000001,00:00:00,0000000001,    2.80,    339450
0000000001,00:00:00,0000000001,    2.85,    352270
0000000001,00:00:00,0000000001,    2.90,    350260
0000000001,00:00:00,0000000001,    2.95,    339500
0000000001,00:00:00,0000000001,    3.00,    335990
0000000001,00:00:00,0000000001,    3.05,    327000
0000000001,00:00:00,0000000001,    3.10,    302860
0000000001,00:00:00,0000000001,    3.15,    267330
0000000001,00:00:00,0000000001,    3.20,    178250
0000000001,00:00:00,0000000001,    3.25,     42360
0000000001,00:00:00,0000000001,    3.30,     14040
0000000001,00:00:00,0000000001,    3.35,      5730
0000000001,00:00:00,0000000001,    3.40,      2410
0000000001,00:00:00,0000000001,    3.45,      1080
0000000001,00:00:00,0000000001,    3.50,       370
0000000001,00:00:00,0000000001,    3.55,       340
0000000001,00:00:00,0000000001,    3.60,       320
0000000001,00:00:00,0000000001,    3.65,       300
0000000001,00:00:00,0000000001,    3.70,       280
0000000001,00:00:00,0000000001,    3.75,       310
0000000001,00:00:00,0000000001,    3.80,       220
0000000001,00:00:00,0000000001,    3.85,       260
0000000001,00:00:00,0000000001,    3.90,       250
0000000001,00:00:00,0000000001,    3.95,       290
