0000001186,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:27:03 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",0.40,30.00,0.05,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.30,"V"
"extractor",370,"V"
"focus",-144,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    0.40,       140
0000000001,00:00:00,0000000000,    0.45,       290
0000000001,00:00:00,0000000000,    0.50,       320
0000000001,00:00:00,0000000000,    0.55,       740
0000000001,00:00:00,0000000000,    0.60,      2030
0000000001,00:00:00,0000000000,    0.65,      7370
0000000001,00:00:00,0000000000,    0.70,     26790
0000000001,00:00:00,0000000000,    0.75,    148790
0000000001,00:00:00,0000000000,    0.80,    236910
0000000001,00:00:00,0000000000,    0.85,    138700
0000000001,00:00:00,0000000000,    0.90,    376670
0000000001,00:00:00,0000000000,    0.95,    859360
0000000001,00:00:00,0000000000,    1.00,    976490
0000000001,00:00:00,0000000000,    1.05,   1018210
0000000001,00:00:00,0000000000,    1.10,   1026430
0000000001,00:00:00,0000000000,    1.15,   1192930
0000000001,00:00:00,0000000000,    1.20,   1194110
0000000001,00:00:00,0000000000,    1.25,   1143890
0000000001,00:00:00,0000000000,    1.30,   1124930
0000000001,00:00:00,0000000000,    1.35,   1090820
0000000001,00:00:00,0000000000,    1.40,   1143120
0000000001,00:00:00,0000000000,    1.45,   1195050
0000000001,00:00:00,0000000000,    1.50,   1241790
