0000000500,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",11:38:59 AM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",1.00,100.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.30,"V"
"extractor",370,"V"
"focus",-144,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    1.00,     58700
0000000001,00:00:00,0000000000,    2.00,     63280
0000000001,00:00:00,0000000000,    3.00,        30
0000000001,00:00:00,0000000000,    4.00,        10
0000000001,00:00:00,0000000000,    5.00,         0
0000000001,00:00:00,0000000000,    6.00,         0
0000000001,00:00:00,0000000000,    7.00,         0
0000000001,00:00:00,0000000000,    8.00,        10
0000000001,00:00:00,0000000000,    9.00,         0
0000000001,00:00:00,0000000000,   10.00,         0
0000000001,00:00:00,0000000000,   11.00,        10
0000000001,00:00:00,0000000000,   12.00,       880
0000000001,00:00:00,0000000000,   13.00,       440
0000000001,00:00:00,0000000000,   14.00,      1830
0000000001,00:00:00,0000000000,   15.00,      3970
0000000001,00:00:00,0000000000,   16.00,      6320
0000000001,00:00:00,0000000000,   17.00,     37500
0000000001,00:00:00,0000000000,   18.00,    150740
0000000001,00:00:00,0000000000,   19.00,       350
0000000001,00:00:00,0000000000,   20.00,       360
0000000001,00:00:00,0000000000,   21.00,         0
0000000001,00:00:00,0000000000,   22.00,       100
0000000001,00:00:00,0000000000,   23.00,         0
0000000001,00:00:00,0000000000,   24.00,       150
0000000001,00:00:00,0000000000,   25.00,       530
0000000001,00:00:00,0000000000,   26.00,      3110
0000000001,00:00:00,0000000000,   27.00,     10180
0000000001,00:00:00,0000000000,   28.00,     41930
0000000001,00:00:00,0000000000,   29.00,     15560
0000000001,00:00:00,0000000000,   30.00,      2890
0000000001,00:00:00,0000000000,   31.00,      1430
0000000001,00:00:00,0000000000,   32.00,       400
0000000001,00:00:00,0000000000,   33.00,        90
0000000001,00:00:00,0000000000,   34.00,       160
0000000001,00:00:00,0000000000,   35.00,        60
0000000001,00:00:00,0000000000,   36.00,       430
0000000001,00:00:00,0000000000,   37.00,       230
0000000001,00:00:00,0000000000,   38.00,       700
0000000001,00:00:00,0000000000,   39.00,      5020
0000000001,00:00:00,0000000000,   40.00,      1440
0000000001,00:00:00,0000000000,   41.00,     17450
0000000001,00:00:00,0000000000,   42.00,      5970
0000000001,00:00:00,0000000000,   43.00,     20590
0000000001,00:00:00,0000000000,   44.00,     10080
0000000001,00:00:00,0000000000,   45.00,      3740
0000000001,00:00:00,0000000000,   46.00,      1450
0000000001,00:00:00,0000000000,   47.00,       100
0000000001,00:00:00,0000000000,   48.00,       110
0000000001,00:00:00,0000000000,   49.00,       130
0000000001,00:00:00,0000000000,   50.00,       480
0000000001,00:00:00,0000000000,   51.00,       520
0000000001,00:00:00,0000000000,   52.00,       340
0000000001,00:00:00,0000000000,   53.00,      1000
0000000001,00:00:00,0000000000,   54.00,      1200
0000000001,00:00:00,0000000000,   55.00,     10770
0000000001,00:00:00,0000000000,   56.00,      6810
0000000001,00:00:00,0000000000,   57.00,     16250
0000000001,00:00:00,0000000000,   58.00,      1750
0000000001,00:00:00,0000000000,   59.00,       550
0000000001,00:00:00,0000000000,   60.00,      2730
0000000001,00:00:00,0000000000,   61.00,       570
0000000001,00:00:00,0000000000,   62.00,       120
0000000001,00:00:00,0000000000,   63.00,       150
0000000001,00:00:00,0000000000,   64.00,       130
0000000001,00:00:00,0000000000,   65.00,       280
0000000001,00:00:00,0000000000,   66.00,       200
0000000001,00:00:00,0000000000,   67.00,      1530
0000000001,00:00:00,0000000000,   68.00,      1340
0000000001,00:00:00,0000000000,   69.00,      4230
0000000001,00:00:00,0000000000,   70.00,      2550
0000000001,00:00:00,0000000000,   71.00,      2810
0000000001,00:00:00,0000000000,   72.00,      1590
0000000001,00:00:00,0000000000,   73.00,      1290
0000000001,00:00:00,0000000000,   74.00,       410
0000000001,00:00:00,0000000000,   75.00,       150
0000000001,00:00:00,0000000000,   76.00,       150
0000000001,00:00:00,0000000000,   77.00,       210
0000000001,00:00:00,0000000000,   78.00,       240
0000000001,00:00:00,0000000000,   79.00,       340
0000000001,00:00:00,0000000000,   80.00,       320
0000000001,00:00:00,0000000000,   81.00,       710
0000000001,00:00:00,0000000000,   82.00,      1470
0000000001,00:00:00,0000000000,   83.00,      1870
0000000001,00:00:00,0000000000,   84.00,      2700
0000000001,00:00:00,0000000000,   85.00,      3210
0000000001,00:00:00,0000000000,   86.00,      3080
0000000001,00:00:00,0000000000,   87.00,      1130
0000000001,00:00:00,0000000000,   88.00,      1690
0000000001,00:00:00,0000000000,   89.00,       380
0000000001,00:00:00,0000000000,   90.00,       250
0000000001,00:00:00,0000000000,   91.00,       140
0000000001,00:00:00,0000000000,   92.00,       330
0000000001,00:00:00,0000000000,   93.00,       160
0000000001,00:00:00,0000000000,   94.00,       230
0000000001,00:00:00,0000000000,   95.00,       690
0000000001,00:00:00,0000000000,   96.00,      1290
0000000001,00:00:00,0000000000,   97.00,      1110
0000000001,00:00:00,0000000000,   98.00,      2900
0000000001,00:00:00,0000000000,   99.00,      2590
0000000001,00:00:00,0000000000,  100.00,      1500
0000000002,00:00:11,0000011138,    1.00,     60560
0000000002,00:00:11,0000011138,    2.00,     67540
0000000002,00:00:11,0000011138,    3.00,         0
0000000002,00:00:11,0000011138,    4.00,         0
0000000002,00:00:11,0000011138,    5.00,         0
0000000002,00:00:11,0000011138,    6.00,         0
0000000002,00:00:11,0000011138,    7.00,         0
0000000002,00:00:11,0000011138,    8.00,        10
0000000002,00:00:11,0000011138,    9.00,         0
0000000002,00:00:11,0000011138,   10.00,         0
0000000002,00:00:11,0000011138,   11.00,         0
0000000002,00:00:11,0000011138,   12.00,       890
0000000002,00:00:11,0000011138,   13.00,       420
0000000002,00:00:11,0000011138,   14.00,      1790
0000000002,00:00:11,0000011138,   15.00,      4410
0000000002,00:00:11,0000011138,   16.00,      6230
0000000002,00:00:11,0000011138,   17.00,     37000
0000000002,00:00:11,0000011138,   18.00,    147240
0000000002,00:00:11,0000011138,   19.00,       460
0000000002,00:00:11,0000011138,   20.00,       460
0000000002,00:00:11,0000011138,   21.00,        10
