0000000150,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:44:28 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","mass",1.00,30.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.35,"V"
"extractor",2,"V"
"focus",-117,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",-99,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    1.00,     95920
0000000001,00:00:00,0000000000,    2.00,    604080
0000000001,00:00:00,0000000000,    3.00,    225340
0000000001,00:00:00,0000000000,    4.00,       130
0000000001,00:00:00,0000000000,    5.00,       120
0000000001,00:00:00,0000000000,    6.00,       110
0000000001,00:00:00,0000000000,    7.00,        70
0000000001,00:00:00,0000000000,    8.00,        60
0000000001,00:00:00,0000000000,    9.00,        80
0000000001,00:00:00,0000000000,   10.00,        50
0000000001,00:00:00,0000000000,   11.00,       100
0000000001,00:00:00,0000000000,   12.00,       150
0000000001,00:00:00,0000000000,   13.00,       810
0000000001,00:00:00,0000000000,   14.00,     42700
0000000001,00:00:00,0000000000,   15.00,     12330
0000000001,00:00:00,0000000000,   16.00,     99340
0000000001,00:00:00,0000000000,   17.00,    494060
0000000001,00:00:00,0000000000,   18.00,    110680
0000000001,00:00:00,0000000000,   19.00,      9070
0000000001,00:00:00,0000000000,   20.00,       150
0000000001,00:00:00,0000000000,   21.00,       110
0000000001,00:00:00,0000000000,   22.00,        50
0000000001,00:00:00,0000000000,   23.00,        20
0000000001,00:00:00,0000000000,   24.00,        60
0000000001,00:00:00,0000000000,   25.00,        60
0000000001,00:00:00,0000000000,   26.00,       410
0000000001,00:00:00,0000000000,   27.00,     10550
0000000001,00:00:00,0000000000,   28.00,    760580
0000000001,00:00:00,0000000000,   29.00,    997580
0000000001,00:00:00,0000000000,   30.00,     11890
0000000002,00:00:03,0000003434,    1.00,     92570
0000000002,00:00:03,0000003434,    2.00,    609810
0000000002,00:00:03,0000003434,    3.00,    225990
0000000002,00:00:03,0000003434,    4.00,       200
0000000002,00:00:03,0000003434,    5.00,        90
0000000002,00:00:03,0000003434,    6.00,        60
0000000002,00:00:03,0000003434,    7.00,       100
0000000002,00:00:03,0000003434,    8.00,        60
0000000002,00:00:03,0000003434,    9.00,        70
0000000002,00:00:03,0000003434,   10.00,        60
0000000002,00:00:03,0000003434,   11.00,        60
0000000002,00:00:03,0000003434,   12.00,        60
0000000002,00:00:03,0000003434,   13.00,       500
0000000002,00:00:03,0000003434,   14.00,     43730
0000000002,00:00:03,0000003434,   15.00,     13100
0000000002,00:00:03,0000003434,   16.00,    101860
0000000002,00:00:03,0000003434,   17.00,    508660
0000000002,00:00:03,0000003434,   18.00,    107800
0000000002,00:00:03,0000003434,   19.00,      8920
0000000002,00:00:03,0000003434,   20.00,        80
0000000002,00:00:03,0000003434,   21.00,        80
0000000002,00:00:03,0000003434,   22.00,        90
0000000002,00:00:03,0000003434,   23.00,        50
0000000002,00:00:03,0000003434,   24.00,        50
0000000002,00:00:03,0000003434,   25.00,        90
0000000002,00:00:03,0000003434,   26.00,       310
0000000002,00:00:03,0000003434,   27.00,      9090
0000000002,00:00:03,0000003434,   28.00,    779870
0000000002,00:00:03,0000003434,   29.00,    971440
0000000002,00:00:03,0000003434,   30.00,     12290
0000000003,00:00:06,0000006867,    1.00,     84020
0000000003,00:00:06,0000006867,    2.00,    636990
0000000003,00:00:06,0000006867,    3.00,    228380
0000000003,00:00:06,0000006867,    4.00,       150
0000000003,00:00:06,0000006867,    5.00,        30
0000000003,00:00:06,0000006867,    6.00,        50
0000000003,00:00:06,0000006867,    7.00,       140
0000000003,00:00:06,0000006867,    8.00,        30
0000000003,00:00:06,0000006867,    9.00,        50
0000000003,00:00:06,0000006867,   10.00,        10
0000000003,00:00:06,0000006867,   11.00,        50
0000000003,00:00:06,0000006867,   12.00,       100
0000000003,00:00:06,0000006867,   13.00,       560
0000000003,00:00:06,0000006867,   14.00,     45290
0000000003,00:00:06,0000006867,   15.00,     12670
0000000003,00:00:06,0000006867,   16.00,     99920
0000000003,00:00:06,0000006867,   17.00,    505810
0000000003,00:00:06,0000006867,   18.00,    109120
0000000003,00:00:06,0000006867,   19.00,      8750
0000000003,00:00:06,0000006867,   20.00,        80
0000000003,00:00:06,0000006867,   21.00,        80
0000000003,00:00:06,0000006867,   22.00,       170
0000000003,00:00:06,0000006867,   23.00,        70
0000000003,00:00:06,0000006867,   24.00,        90
0000000003,00:00:06,0000006867,   25.00,        60
0000000003,00:00:06,0000006867,   26.00,       320
0000000003,00:00:06,0000006867,   27.00,      8300
0000000003,00:00:06,0000006867,   28.00,    801990
0000000003,00:00:06,0000006867,   29.00,    962260
0000000003,00:00:06,0000006867,   30.00,     12790
0000000004,00:00:10,0000010300,    1.00,     89870
0000000004,00:00:10,0000010300,    2.00,    647580
0000000004,00:00:10,0000010300,    3.00,    230430
0000000004,00:00:10,0000010300,    4.00,       140
0000000004,00:00:10,0000010300,    5.00,       100
0000000004,00:00:10,0000010300,    6.00,        30
0000000004,00:00:10,0000010300,    7.00,        90
0000000004,00:00:10,0000010300,    8.00,        60
0000000004,00:00:10,0000010300,    9.00,        70
0000000004,00:00:10,0000010300,   10.00,        70
0000000004,00:00:10,0000010300,   11.00,        90
0000000004,00:00:10,0000010300,   12.00,       110
0000000004,00:00:10,0000010300,   13.00,       640
0000000004,00:00:10,0000010300,   14.00,     44180
0000000004,00:00:10,0000010300,   15.00,     13610
0000000004,00:00:10,0000010300,   16.00,     99600
0000000004,00:00:10,0000010300,   17.00,    516650
0000000004,00:00:10,0000010300,   18.00,    108700
0000000004,00:00:10,0000010300,   19.00,      9310
0000000004,00:00:10,0000010300,   20.00,       100
0000000004,00:00:10,0000010300,   21.00,        80
0000000004,00:00:10,0000010300,   22.00,       130
0000000004,00:00:10,0000010300,   23.00,        50
0000000004,00:00:10,0000010300,   24.00,        40
0000000004,00:00:10,0000010300,   25.00,       100
0000000004,00:00:10,0000010300,   26.00,       230
0000000004,00:00:10,0000010300,   27.00,      9690
0000000004,00:00:10,0000010300,   28.00,    796390
0000000004,00:00:10,0000010300,   29.00,   1017690
0000000004,00:00:10,0000010300,   30.00,     12810
0000000005,00:00:13,0000013733,    1.00,     99330
0000000005,00:00:13,0000013733,    2.00,    633640
0000000005,00:00:13,0000013733,    3.00,    233450
0000000005,00:00:13,0000013733,    4.00,       150
0000000005,00:00:13,0000013733,    5.00,        80
0000000005,00:00:13,0000013733,    6.00,        60
0000000005,00:00:13,0000013733,    7.00,        60
0000000005,00:00:13,0000013733,    8.00,        40
0000000005,00:00:13,0000013733,    9.00,        30
0000000005,00:00:13,0000013733,   10.00,        70
0000000005,00:00:13,0000013733,   11.00,        80
0000000005,00:00:13,0000013733,   12.00,       120
0000000005,00:00:13,0000013733,   13.00,       660
0000000005,00:00:13,0000013733,   14.00,     44720
0000000005,00:00:13,0000013733,   15.00,     12320
0000000005,00:00:13,0000013733,   16.00,    103340
0000000005,00:00:13,0000013733,   17.00,    510330
0000000005,00:00:13,0000013733,   18.00,    110280
0000000005,00:00:13,0000013733,   19.00,      9140
0000000005,00:00:13,0000013733,   20.00,        60
0000000005,00:00:13,0000013733,   21.00,       100
0000000005,00:00:13,0000013733,   22.00,        20
