0000000150,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",12:13:44 PM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",1.00,30.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.30,"V"
"extractor",370,"V"
"focus",-144,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",0,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    1.00,   1155780
0000000001,00:00:00,0000000000,    2.00,   1898650
0000000001,00:00:00,0000000000,    3.00,      1970
0000000001,00:00:00,0000000000,    4.00,       110
0000000001,00:00:00,0000000000,    5.00,        90
0000000001,00:00:00,0000000000,    6.00,       120
0000000001,00:00:00,0000000000,    7.00,       230
0000000001,00:00:00,0000000000,    8.00,       130
0000000001,00:00:00,0000000000,    9.00,       100
0000000001,00:00:00,0000000000,   10.00,        60
0000000001,00:00:00,0000000000,   11.00,       100
0000000001,00:00:00,0000000000,   12.00,       570
0000000001,00:00:00,0000000000,   13.00,       390
0000000001,00:00:00,0000000000,   14.00,     16620
0000000001,00:00:00,0000000000,   15.00,      3850
0000000001,00:00:00,0000000000,   16.00,     40060
0000000001,00:00:00,0000000000,   17.00,     67700
0000000001,00:00:00,0000000000,   18.00,     62640
0000000001,00:00:00,0000000000,   19.00,       440
0000000001,00:00:00,0000000000,   20.00,       350
0000000001,00:00:00,0000000000,   21.00,       130
0000000001,00:00:00,0000000000,   22.00,       200
0000000001,00:00:00,0000000000,   23.00,       170
0000000001,00:00:00,0000000000,   24.00,       260
0000000001,00:00:00,0000000000,   25.00,       280
0000000001,00:00:00,0000000000,   26.00,      1150
0000000001,00:00:00,0000000000,   27.00,      4340
0000000001,00:00:00,0000000000,   28.00,    266710
0000000001,00:00:00,0000000000,   29.00,      8260
0000000001,00:00:00,0000000000,   30.00,      2360
0000000002,00:00:03,0000003433,    1.00,   1148420
0000000002,00:00:03,0000003433,    2.00,   1890190
0000000002,00:00:03,0000003433,    3.00,      1760
0000000002,00:00:03,0000003433,    4.00,       100
0000000002,00:00:03,0000003433,    5.00,       100
0000000002,00:00:03,0000003433,    6.00,        90
0000000002,00:00:03,0000003433,    7.00,       170
0000000002,00:00:03,0000003433,    8.00,       160
0000000002,00:00:03,0000003433,    9.00,       130
0000000002,00:00:03,0000003433,   10.00,       160
0000000002,00:00:03,0000003433,   11.00,        90
0000000002,00:00:03,0000003433,   12.00,       510
0000000002,00:00:03,0000003433,   13.00,       260
0000000002,00:00:03,0000003433,   14.00,     15750
0000000002,00:00:03,0000003433,   15.00,      3600
0000000002,00:00:03,0000003433,   16.00,     40820
0000000002,00:00:03,0000003433,   17.00,     68600
0000000002,00:00:03,0000003433,   18.00,     63030
0000000002,00:00:03,0000003433,   19.00,       330
0000000002,00:00:03,0000003433,   20.00,       310
0000000002,00:00:03,0000003433,   21.00,       130
0000000002,00:00:03,0000003433,   22.00,        90
0000000002,00:00:03,0000003433,   23.00,        80
0000000002,00:00:03,0000003433,   24.00,        80
0000000002,00:00:03,0000003433,   25.00,       250
0000000002,00:00:03,0000003433,   26.00,      1270
0000000002,00:00:03,0000003433,   27.00,      3870
0000000002,00:00:03,0000003433,   28.00,    260760
0000000002,00:00:03,0000003433,   29.00,      8190
0000000002,00:00:03,0000003433,   30.00,      2000
0000000003,00:00:06,0000006866,    1.00,   1141500
0000000003,00:00:06,0000006866,    2.00,   1881720
0000000003,00:00:06,0000006866,    3.00,      1630
0000000003,00:00:06,0000006866,    4.00,       170
0000000003,00:00:06,0000006866,    5.00,        50
0000000003,00:00:06,0000006866,    6.00,       150
0000000003,00:00:06,0000006866,    7.00,       210
0000000003,00:00:06,0000006866,    8.00,       180
0000000003,00:00:06,0000006866,    9.00,       110
0000000003,00:00:06,0000006866,   10.00,        70
0000000003,00:00:06,0000006866,   11.00,       160
0000000003,00:00:06,0000006866,   12.00,       520
0000000003,00:00:06,0000006866,   13.00,       360
0000000003,00:00:06,0000006866,   14.00,     16420
0000000003,00:00:06,0000006866,   15.00,      3900
0000000003,00:00:06,0000006866,   16.00,     40240
0000000003,00:00:06,0000006866,   17.00,     67710
0000000003,00:00:06,0000006866,   18.00,     62910
0000000003,00:00:06,0000006866,   19.00,       390
0000000003,00:00:06,0000006866,   20.00,       460
0000000003,00:00:06,0000006866,   21.00,       130
0000000003,00:00:06,0000006866,   22.00,       220
0000000003,00:00:06,0000006866,   23.00,       140
0000000003,00:00:06,0000006866,   24.00,       140
0000000003,00:00:06,0000006866,   25.00,       200
0000000003,00:00:06,0000006866,   26.00,      1160
0000000003,00:00:06,0000006866,   27.00,      4200
0000000003,00:00:06,0000006866,   28.00,    261520
0000000003,00:00:06,0000006866,   29.00,      8400
0000000003,00:00:06,0000006866,   30.00,      2440
0000000004,00:00:10,0000010299,    1.00,   1139490
0000000004,00:00:10,0000010299,    2.00,   1873200
0000000004,00:00:10,0000010299,    3.00,      1810
0000000004,00:00:10,0000010299,    4.00,       130
0000000004,00:00:10,0000010299,    5.00,       130
0000000004,00:00:10,0000010299,    6.00,        90
0000000004,00:00:10,0000010299,    7.00,       120
0000000004,00:00:10,0000010299,    8.00,       190
0000000004,00:00:10,0000010299,    9.00,       140
0000000004,00:00:10,0000010299,   10.00,       150
0000000004,00:00:10,0000010299,   11.00,        80
0000000004,00:00:10,0000010299,   12.00,       600
0000000004,00:00:10,0000010299,   13.00,       420
0000000004,00:00:10,0000010299,   14.00,     15700
0000000004,00:00:10,0000010299,   15.00,      3860
0000000004,00:00:10,0000010299,   16.00,     39650
0000000004,00:00:10,0000010299,   17.00,     66290
0000000004,00:00:10,0000010299,   18.00,     64930
0000000004,00:00:10,0000010299,   19.00,       310
0000000004,00:00:10,0000010299,   20.00,       330
0000000004,00:00:10,0000010299,   21.00,       200
0000000004,00:00:10,0000010299,   22.00,       110
0000000004,00:00:10,0000010299,   23.00,        80
0000000004,00:00:10,0000010299,   24.00,       130
0000000004,00:00:10,0000010299,   25.00,       340
0000000004,00:00:10,0000010299,   26.00,      1190
0000000004,00:00:10,0000010299,   27.00,      4190
0000000004,00:00:10,0000010299,   28.00,    261750
0000000004,00:00:10,0000010299,   29.00,      8800
0000000004,00:00:10,0000010299,   30.00,      2280
0000000005,00:00:13,0000013732,    1.00,   1133380
0000000005,00:00:13,0000013732,    2.00,   1863010
0000000005,00:00:13,0000013732,    3.00,      1680
0000000005,00:00:13,0000013732,    4.00,       210
0000000005,00:00:13,0000013732,    5.00,        70
0000000005,00:00:13,0000013732,    6.00,       110
0000000005,00:00:13,0000013732,    7.00,       260
0000000005,00:00:13,0000013732,    8.00,       140
0000000005,00:00:13,0000013732,    9.00,       170
0000000005,00:00:13,0000013732,   10.00,       150
0000000005,00:00:13,0000013732,   11.00,       100
0000000005,00:00:13,0000013732,   12.00,       500
0000000005,00:00:13,0000013732,   13.00,       350
0000000005,00:00:13,0000013732,   14.00,     16310
0000000005,00:00:13,0000013732,   15.00,      4020
0000000005,00:00:13,0000013732,   16.00,     40160
0000000005,00:00:13,0000013732,   17.00,     68660
0000000005,00:00:13,0000013732,   18.00,     63730
0000000005,00:00:13,0000013732,   19.00,       420
0000000005,00:00:13,0000013732,   20.00,       130
0000000005,00:00:13,0000013732,   21.00,        90
0000000005,00:00:13,0000013732,   22.00,       180
0000000005,00:00:13,0000013732,   23.00,       180
0000000005,00:00:13,0000013732,   24.00,       210
0000000005,00:00:13,0000013732,   25.00,       230
0000000005,00:00:13,0000013732,   26.00,      1320
0000000005,00:00:13,0000013732,   27.00,      4130
0000000005,00:00:13,0000013732,   28.00,    258520
0000000005,00:00:13,0000013732,   29.00,      9270
0000000005,00:00:13,0000013732,   30.00,      2270
