0000000150,scans,0000000052,DataLength
"header",0000000032,"lines"
"Date",11/05/2016,"Time",11:57:57 AM
"ID","HAL 7 IDP LOW ENERGY #13740","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","mass",1.00,30.00,1.00,100.000,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-2500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",20.000,"uA"
"energy",0.35,"V"
"extractor",2,"V"
"focus",-117,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"lens",-99,"V"
"mass",1.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1800,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"Data",1
"Cycle","Time","ms","mass amu","SEM c/s"
0000000001,00:00:00,0000000000,    1.00,   7011820
0000000001,00:00:00,0000000000,    2.00,    622410
0000000001,00:00:00,0000000000,    3.00,      2550
0000000001,00:00:00,0000000000,    4.00,    341140
0000000001,00:00:00,0000000000,    5.00,      4200
0000000001,00:00:00,0000000000,    6.00,       620
0000000001,00:00:00,0000000000,    7.00,       960
0000000001,00:00:00,0000000000,    8.00,      1320
0000000001,00:00:00,0000000000,    9.00,      1850
0000000001,00:00:00,0000000000,   10.00,      5050
0000000001,00:00:00,0000000000,   11.00,      7590
0000000001,00:00:00,0000000000,   12.00,     13640
0000000001,00:00:00,0000000000,   13.00,     23330
0000000001,00:00:00,0000000000,   14.00,     23930
0000000001,00:00:00,0000000000,   15.00,     55290
0000000001,00:00:00,0000000000,   16.00,     95320
0000000001,00:00:00,0000000000,   17.00,    228340
0000000001,00:00:00,0000000000,   18.00,    554720
0000000001,00:00:00,0000000000,   19.00,    670210
0000000001,00:00:00,0000000000,   20.00,     11420
0000000001,00:00:00,0000000000,   21.00,      3830
0000000001,00:00:00,0000000000,   22.00,       430
0000000001,00:00:00,0000000000,   23.00,       560
0000000001,00:00:00,0000000000,   24.00,       510
0000000001,00:00:00,0000000000,   25.00,      1290
0000000001,00:00:00,0000000000,   26.00,      7110
0000000001,00:00:00,0000000000,   27.00,     15680
0000000001,00:00:00,0000000000,   28.00,     57100
0000000001,00:00:00,0000000000,   29.00,    278150
0000000001,00:00:00,0000000000,   30.00,     59960
0000000002,00:00:03,0000003434,    1.00,   6711440
0000000002,00:00:03,0000003434,    2.00,    570300
0000000002,00:00:03,0000003434,    3.00,      1680
0000000002,00:00:03,0000003434,    4.00,    339950
0000000002,00:00:03,0000003434,    5.00,      4350
0000000002,00:00:03,0000003434,    6.00,       710
0000000002,00:00:03,0000003434,    7.00,      1170
0000000002,00:00:03,0000003434,    8.00,      1250
0000000002,00:00:03,0000003434,    9.00,      1530
0000000002,00:00:03,0000003434,   10.00,      4700
0000000002,00:00:03,0000003434,   11.00,      7000
0000000002,00:00:03,0000003434,   12.00,     13900
0000000002,00:00:03,0000003434,   13.00,     24030
0000000002,00:00:03,0000003434,   14.00,     22980
0000000002,00:00:03,0000003434,   15.00,     53540
0000000002,00:00:03,0000003434,   16.00,     90490
0000000002,00:00:03,0000003434,   17.00,    218370
0000000002,00:00:03,0000003434,   18.00,    526810
0000000002,00:00:03,0000003434,   19.00,    648600
0000000002,00:00:03,0000003434,   20.00,     10550
0000000002,00:00:03,0000003434,   21.00,      3500
0000000002,00:00:03,0000003434,   22.00,       330
0000000002,00:00:03,0000003434,   23.00,       390
0000000002,00:00:03,0000003434,   24.00,       580
0000000002,00:00:03,0000003434,   25.00,      1260
0000000002,00:00:03,0000003434,   26.00,      6680
0000000002,00:00:03,0000003434,   27.00,     14670
0000000002,00:00:03,0000003434,   28.00,     54860
0000000002,00:00:03,0000003434,   29.00,    273470
0000000002,00:00:03,0000003434,   30.00,     57780
0000000003,00:00:06,0000006867,    1.00,   6555640
0000000003,00:00:06,0000006867,    2.00,    418230
0000000003,00:00:06,0000006867,    3.00,      1610
0000000003,00:00:06,0000006867,    4.00,    351630
0000000003,00:00:06,0000006867,    5.00,      3890
0000000003,00:00:06,0000006867,    6.00,       780
0000000003,00:00:06,0000006867,    7.00,       940
0000000003,00:00:06,0000006867,    8.00,      1280
0000000003,00:00:06,0000006867,    9.00,      2030
0000000003,00:00:06,0000006867,   10.00,      5300
0000000003,00:00:06,0000006867,   11.00,      8270
0000000003,00:00:06,0000006867,   12.00,     12690
0000000003,00:00:06,0000006867,   13.00,     22410
0000000003,00:00:06,0000006867,   14.00,     21900
0000000003,00:00:06,0000006867,   15.00,     48840
0000000003,00:00:06,0000006867,   16.00,     87000
0000000003,00:00:06,0000006867,   17.00,    219750
0000000003,00:00:06,0000006867,   18.00,    518780
0000000003,00:00:06,0000006867,   19.00,    650320
0000000003,00:00:06,0000006867,   20.00,     10490
0000000003,00:00:06,0000006867,   21.00,      3920
0000000003,00:00:06,0000006867,   22.00,       380
0000000003,00:00:06,0000006867,   23.00,       540
0000000003,00:00:06,0000006867,   24.00,       520
0000000003,00:00:06,0000006867,   25.00,      1310
0000000003,00:00:06,0000006867,   26.00,      6480
0000000003,00:00:06,0000006867,   27.00,     14360
0000000003,00:00:06,0000006867,   28.00,     54010
0000000003,00:00:06,0000006867,   29.00,    265570
0000000003,00:00:06,0000006867,   30.00,     55710
0000000004,00:00:10,0000010300,    1.00,   6364280
0000000004,00:00:10,0000010300,    2.00,    403400
0000000004,00:00:10,0000010300,    3.00,      2220
0000000004,00:00:10,0000010300,    4.00,    346420
0000000004,00:00:10,0000010300,    5.00,      4000
0000000004,00:00:10,0000010300,    6.00,       740
0000000004,00:00:10,0000010300,    7.00,      1060
0000000004,00:00:10,0000010300,    8.00,      1290
0000000004,00:00:10,0000010300,    9.00,      1570
0000000004,00:00:10,0000010300,   10.00,      4330
0000000004,00:00:10,0000010300,   11.00,      7560
0000000004,00:00:10,0000010300,   12.00,     12450
0000000004,00:00:10,0000010300,   13.00,     22530
0000000004,00:00:10,0000010300,   14.00,     21040
0000000004,00:00:10,0000010300,   15.00,     49550
0000000004,00:00:10,0000010300,   16.00,     84620
0000000004,00:00:10,0000010300,   17.00,    210510
0000000004,00:00:10,0000010300,   18.00,    503590
0000000004,00:00:10,0000010300,   19.00,    629230
0000000004,00:00:10,0000010300,   20.00,      9850
0000000004,00:00:10,0000010300,   21.00,      3840
0000000004,00:00:10,0000010300,   22.00,       440
0000000004,00:00:10,0000010300,   23.00,       410
